goal,Goal/Subgoal,Dataset,Description,Source
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 30-31 (Gulf of Bothnia)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12738"" target = ""_blank"">ICES database</a>"
FP,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod Length and Weight - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FIS,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod Length and Weight - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FP,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod CPUE - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FIS,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod CPUE - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FP,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 22–24, western Baltic stock (western Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.22-24.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 22–24, western Baltic stock (western Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.22-24.pdf"" target = ""_blank"">Reference points</a>"
FP,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 24–32, eastern Baltic stock (eastern Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.24-32.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 24–32, eastern Baltic stock (eastern Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.24-32.pdf"" target = ""_blank"">Reference points</a>"
FP,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 20-24 (Skagerrak, Kattegat and western Baltic) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.20-24.pdf"" target = ""_blank"">Reference points</a>"
